epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,1947.93,0.99353,0.30739,0.00943,0.99789,0.97674,0.99194,0.65792,1.24114,0.33201,0.01173,8.20908e-05,8.20908e-05,8.20908e-05
135,1962.19,0.98916,0.28967,0.00966,0.98662,0.96512,0.984,0.65534,1.23232,0.35464,0.01165,7.50674e-05,7.50674e-05,7.50674e-05
136,1976.78,0.97983,0.2761,0.0095,0.99615,0.96512,0.98381,0.65156,1.23732,0.35373,0.01172,6.8454e-05,6.8454e-05,6.8454e-05
137,1991.34,0.97015,0.29513,0.00929,0.98815,0.96945,0.98392,0.65766,1.23834,0.35844,0.01173,6.22537e-05,6.22537e-05,6.22537e-05
138,2005.88,0.97216,0.29022,0.00911,0.99988,0.97674,0.9835,0.65742,1.23888,0.35911,0.01172,5.64691e-05,5.64691e-05,5.64691e-05
139,2020.37,0.96061,0.30315,0.00936,0.99176,0.96512,0.98374,0.65934,1.23605,0.35607,0.01169,5.11027e-05,5.11027e-05,5.11027e-05
140,2034.66,0.99226,0.28894,0.00962,1,0.97661,0.98376,0.65973,1.23826,0.35531,0.01173,4.61569e-05,4.61569e-05,4.61569e-05
141,2052.31,0.97015,0.29302,0.00926,0.99748,0.97674,0.98376,0.6607,1.24226,0.34857,0.01175,4.16339e-05,4.16339e-05,4.16339e-05
142,2067.18,0.97734,0.28738,0.00934,0.99829,0.97674,0.98359,0.65742,1.23971,0.34959,0.01172,3.75356e-05,3.75356e-05,3.75356e-05
143,2081.75,0.96654,0.29228,0.00905,0.99796,0.97674,0.98367,0.65964,1.24123,0.34768,0.01171,3.38639e-05,3.38639e-05,3.38639e-05
144,2096.23,0.96892,0.28137,0.00958,0.99748,0.97674,0.9835,0.65983,1.24027,0.35551,0.01173,3.06204e-05,3.06204e-05,3.06204e-05
145,2110.46,0.98562,0.29726,0.00944,1,0.97622,0.98376,0.65941,1.2372,0.35661,0.0117,2.78064e-05,2.78064e-05,2.78064e-05
146,2124.57,1.00275,0.29352,0.00959,1,0.97555,0.98367,0.65797,1.2334,0.35592,0.01166,2.54233e-05,2.54233e-05,2.54233e-05
147,2138.14,0.9787,0.31178,0.00953,0.99377,0.96512,0.98374,0.65439,1.23142,0.35534,0.01165,2.34721e-05,2.34721e-05,2.34721e-05
148,2152.31,0.97752,0.30837,0.00941,0.99717,0.97674,0.98986,0.65646,1.23318,0.35173,0.01166,2.19535e-05,2.19535e-05,2.19535e-05
149,2166.55,0.99369,0.30014,0.0096,1,0.97122,0.98376,0.65556,1.23321,0.35302,0.01165,2.08684e-05,2.08684e-05,2.08684e-05
150,2181.08,0.98164,0.29361,0.00939,0.99899,0.97674,0.98359,0.65759,1.23515,0.35307,0.01167,2.02171e-05,2.02171e-05,2.02171e-05
